sample_id,split,segment_id,start_time,end_time,input_std_paths_json,target_std_paths_json,input_times_json,target_times_json,center_code,product_code,lat_min,lat_max,lon_min,lon_max
S000010,train,0,2026-01-23 19:00:00,2026-01-23 19:42:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:00:00"", ""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00""]","[""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000011,train,0,2026-01-23 19:06:00,2026-01-23 19:48:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123190600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:06:00"", ""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00""]","[""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000012,train,0,2026-01-23 19:12:00,2026-01-23 19:54:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:12:00"", ""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00""]","[""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000013,train,0,2026-01-23 19:18:00,2026-01-23 20:00:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123191800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:18:00"", ""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00""]","[""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000014,train,0,2026-01-23 19:24:00,2026-01-23 20:06:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123192400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:24:00"", ""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00""]","[""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000015,train,0,2026-01-23 19:30:00,2026-01-23 20:12:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:30:00"", ""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00""]","[""2026-01-23 20:00:00"", ""2026-01-23 20:06:00"", ""2026-01-23 20:12:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000016,train,0,2026-01-23 19:36:00,2026-01-23 20:18:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123193600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:36:00"", ""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00""]","[""2026-01-23 20:06:00"", ""2026-01-23 20:12:00"", ""2026-01-23 20:18:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000017,train,0,2026-01-23 19:42:00,2026-01-23 20:24:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:42:00"", ""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00""]","[""2026-01-23 20:12:00"", ""2026-01-23 20:18:00"", ""2026-01-23 20:24:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000018,train,0,2026-01-23 19:48:00,2026-01-23 20:30:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123194800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123203000_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:48:00"", ""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00"", ""2026-01-23 20:12:00""]","[""2026-01-23 20:18:00"", ""2026-01-23 20:24:00"", ""2026-01-23 20:30:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
S000019,train,0,2026-01-23 19:54:00,2026-01-23 20:36:00,"[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123195400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123200600_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201200_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123201800_12.2_54.2_73.0_135.0.npy""]","[""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123202400_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123203000_12.2_54.2_73.0_135.0.npy"", ""frames/train/Z_RADA_C_BABJ_P_ACHN_CREF000_20260123203600_12.2_54.2_73.0_135.0.npy""]","[""2026-01-23 19:54:00"", ""2026-01-23 20:00:00"", ""2026-01-23 20:06:00"", ""2026-01-23 20:12:00"", ""2026-01-23 20:18:00""]","[""2026-01-23 20:24:00"", ""2026-01-23 20:30:00"", ""2026-01-23 20:36:00""]",BABJ,ACHN_CREF000,12.2,54.2,73.0,135.0
